HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
167,0.52780714,39.18321360,3.50,0.90,8.58,0.060,B9,6.08,-4.37
168,0.53352192,-2.81984528,1.95,1.34,9.56,1.113,R...,-38.31,-93.38
169,0.53502093,-68.28020594,63.03,1.98,9.24,1.390,M0V,207.45,-231.80
170,0.53767720,-20.87164212,5.96,2.02,9.63,0.509,F5V,-29.52,-8.33
171,0.54018776,27.08448905,80.63,3.03,5.80,0.690,G3V,778.59,-918.72
172,0.54288062,67.40895644,1.27,1.11,9.05,0.976,O7,-1.45,-1.63
173,0.54959887,47.57722222,1.31,1.03,8.45,0.248,A2,-8.42,-6.78
174,0.55156687,59.96533825,3.89,1.83,8.86,1.035,G9II-III,15.17,-0.10
175,0.55243583,49.77113897,3.98,0.87,7.84,0.923,G5,-7.42,-21.74
176,0.55333411,44.42827722,3.82,1.07,8.86,0.530,K0,19.01,-6.20
177,0.56020401,-11.96434717,5.47,1.25,8.93,0.172,A1m...,9.52,-1.99
178,0.56779620,-27.13517299,9.02,2.50,7.97,0.556,F7V,99.62,8.25
179,0.56886229,-13.40751554,14.91,0.90,6.90,0.534,G0V,261.21,32.13
180,0.57090231,-9.17489501,2.80,1.12,8.47,1.171,K0,3.94,-13.52
181,0.57381667,60.70319460,2.51,0.64,6.77,1.832,M0,-8.91,-11.05
182,0.58116809,52.58643746,3.32,1.16,8.55,1.004,K0,6.78,-12.63
183,0.58297574,-29.72044805,6.40,0.87,5.04,-0.150,B4V,9.66,14.00
184,0.58977565,11.00634091,29.75,1.21,8.48,0.888,K0,-2.65,-43.21
185,0.59015020,10.78564387,11.74,1.80,8.53,0.530,F8,-45.33,-115.73
186,0.60069792,8.95683360,7.55,0.82,6.33,0.182,A6V,-0.87,-4.11
187,0.60211418,-6.05918213,6.69,1.38,8.99,0.500,G0,69.03,-36.17
188,0.60250452,6.33313676,10.49,1.23,8.64,0.488,F5,77.39,-50.94
189,0.60528721,54.13515756,2.49,1.41,9.55,0.237,A3,-12.95,-7.46
190,0.60555642,10.77665206,10.47,1.17,8.74,0.570,G0,-49.43,-118.65
191,0.61228711,-46.02884131,22.98,4.38,12.43,1.490,M3,192.39,-22.43
192,0.61983117,8.39393024,3.31,1.11,8.16,1.032,G5,-1.77,-29.14
193,0.62164007,-39.21249918,4.77,1.47,9.46,0.944,G8/K0III,28.73,-37.91
194,0.62398938,8.48557854,26.53,0.77,5.70,0.315,F0V,-93.55,-47.50
195,0.62573691,47.42295978,8.08,1.00,7.62,0.517,F8,12.29,-28.62
196,0.62700447,51.82997958,0.98,1.18,8.95,1.677,K5,0.32,-1.45
197,0.63232895,42.14779896,1.62,1.16,8.97,0.952,K0,-7.69,-8.04
198,0.63269567,15.33519012,5.12,1.11,8.94,0.276,A0,21.03,-7.14
199,0.63503230,16.25655097,4.07,0.88,7.24,0.074,A0,-11.07,5.70
200,0.63546326,-33.99267216,3.17,1.67,10.32,0.323,F2,8.78,16.25
201,0.63931400,18.68336438,10.06,0.99,8.24,0.474,F5,-13.19,17.41
202,0.64173419,54.55216087,2.60,1.10,8.62,0.303,F0,1.53,-8.82
203,0.64222918,-15.83126945,2.16,1.59,9.18,0.981,K0III,22.60,7.37
204,0.64508403,-43.94791349,2.53,1.00,8.53,1.274,K3III,42.05,-6.43
205,0.64571113,-5.18664439,8.84,1.25,8.54,0.384,F2,-24.78,-2.83
206,0.64683993,18.83599601,9.32,1.02,8.56,0.436,G0,-18.50,19.70
208,0.64992943,-67.63428107,2.46,1.07,9.41,0.967,G6/G8III,21.72,-2.68
207,0.65034249,66.09896341,1.57,1.67,5.87,1.073,G8III,3.32,1.14
209,0.66015960,66.10037725,-0.69,9.62,7.20,0.085,A2V,8.09,9.09
210,0.66214867,-8.48794379,7.65,1.93,9.05,0.470,G0,-2.72,-4.67
211,0.66317884,-37.94768074,3.88,1.36,9.52,0.832,G8,13.88,-16.40
212,0.66344190,-29.07525103,6.18,2.04,10.24,0.318,,24.31,1.45
213,0.66686344,51.47241278,7.80,0.95,7.70,1.003,G5,42.82,-4.99
214,0.66917246,28.54222144,3.36,0.99,8.17,0.290,A3,0.01,-0.06
217,0.67441616,82.97320953,2.73,0.63,7.29,0.118,A0,-10.90,-3.07
215,0.67449039,75.03619342,3.49,0.94,9.26,1.800,M2,4.08,7.28
216,0.67692229,42.92069156,3.21,0.89,7.94,0.016,A0,-11.81,-17.65
218,0.67974974,-57.63363086,4.14,1.05,8.42,1.005,G8III,-26.92,-16.14
219,0.69022925,6.03445242,10.78,1.28,8.56,0.602,F8,31.94,-21.40
220,0.69173956,35.81547283,6.27,0.81,7.52,0.180,A0,13.73,-2.33
221,0.69321513,80.28224146,7.68,1.11,7.74,0.483,F2,47.54,17.14
222,0.69448089,-40.98317970,2.62,1.16,8.85,1.113,K1III,-3.09,-20.43
224,0.69625192,3.86040514,1.25,1.47,9.01,1.010,K0,3.01,4.28
223,0.69641117,2.13037640,21.58,1.65,7.17,0.617,G0,62.25,-91.23
225,0.70006380,-15.04053128,7.23,1.56,9.04,0.489,F3/F5V,21.33,-4.70
226,0.70031218,-24.94525463,0.63,1.67,10.30,0.254,F0/F2V,54.29,-17.92
227,0.70416774,80.28651236,8.72,7.25,9.86,0.442,,48.59,27.27
228,0.71015217,28.25189113,9.53,0.87,7.64,0.532,F8,41.41,5.68
229,0.71393463,47.25228068,2.16,2.57,8.27,0.128,A0,18.80,-5.10
230,0.71569526,30.33651580,8.62,1.31,8.44,0.423,F2,67.16,10.79
231,0.72341351,-58.78139077,4.59,1.21,9.58,0.500,F6/F7IV,75.02,-3.02
232,0.73006132,-30.14977973,5.18,1.11,8.43,0.007,A0V,20.22,2.81
233,0.73197615,71.35854324,2.50,1.03,8.49,1.180,K0,-6.98,-11.07
234,0.73358145,70.23800778,2.91,1.08,9.64,0.310,B8,3.83,-3.04
