HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
82892,254.09185685,16.28527529,10.60,0.78,7.24,0.252,A5,-20.50,-8.53
82893,254.09436424,31.01127923,2.50,0.83,8.14,0.174,A2,-13.27,-11.36
82894,254.10059493,80.85955290,5.04,0.50,6.64,0.996,G5,0.42,9.08
82895,254.10110924,42.65393784,3.14,0.98,9.64,0.464,F5,-13.95,-13.22
82896,254.10112194,68.02452093,19.73,0.70,8.70,0.659,G0,-73.74,263.02
82897,254.10431948,-50.58253981,11.35,1.88,10.11,0.616,G5,22.96,-53.10
82898,254.10548137,65.03904488,14.90,0.89,6.40,0.383,F1V,-34.43,32.72
82899,,,,,12.27,,,,
82900,254.11651670,6.28130025,1.74,1.25,8.55,0.997,K0,0.41,-8.71
82901,254.11661460,-0.28384781,8.75,2.60,10.80,0.789,K0,23.50,-66.15
82902,254.12000822,-52.28364331,10.35,0.82,5.94,-0.069,A0III,-35.74,-42.44
82903,254.12013059,0.68695883,1.91,1.43,9.93,1.006,K0,12.86,1.75
82904,,,,,11.70,0.480,G4V-VI,,
82905,254.12577063,-4.16706549,3.68,1.62,9.95,1.410,,-5.99,7.77
82906,254.12737016,49.98917944,1.66,0.91,9.03,1.191,K2,-9.97,-4.42
82908,254.13701398,-66.10893920,4.78,0.80,7.93,0.121,A0V,-13.14,-13.33
82907,254.13702491,-63.88375702,5.67,1.13,8.80,0.983,G6,-9.07,-30.02
82909,254.13906752,10.23930009,8.37,3.37,9.36,0.699,G0,-6.41,-49.79
82910,254.14577395,57.18810913,11.90,1.66,8.87,0.600,G0,27.48,-16.30
82911,254.14990852,-40.82345259,-0.86,0.84,6.18,0.228,B0.5Ia,0.30,-0.17
82912,254.15768984,-30.58003813,2.84,1.30,6.97,1.167,M6IIIe,-9.32,-8.57
82913,254.16058944,3.66165780,6.17,1.29,9.04,0.446,F5,10.06,10.73
82914,254.16225933,-54.30988212,6.04,1.47,9.36,0.590,F5V,-21.78,-57.74
82915,254.16306451,15.64280827,11.61,0.90,7.67,0.483,F5,-2.48,-40.97
82916,254.16404784,55.50330393,1.48,0.80,8.77,1.306,K,-12.93,9.27
82917,254.16406877,-43.94772087,4.95,1.34,8.45,0.380,A7V,3.43,6.53
82918,254.16526048,14.14019356,7.94,0.96,6.77,0.945,K0,-12.29,24.13
82919,254.17109895,-22.67422327,4.95,2.08,9.86,1.296,G5,-11.10,-3.01
82920,254.17535864,26.06799100,2.86,1.22,9.15,0.975,K0,-4.44,-16.35
82921,254.18560442,-10.95139406,9.98,1.44,9.04,0.638,F8,22.30,39.77
82922,254.18968250,-74.64602687,4.11,1.09,8.82,1.008,G8/K0III,-2.46,-21.71
82923,254.19087549,-67.16428459,3.96,0.82,7.57,0.997,G8III,-4.11,-16.56
82925,254.20015918,-23.15032178,8.99,1.32,5.57,-0.018,A0V,-2.29,-9.89
82926,254.20216085,-39.09365955,68.71,5.02,11.18,1.510,M3Ve+...,65.79,-109.38
82927,254.20298854,61.47510052,4.69,0.53,7.32,1.086,K0,-8.33,7.25
82928,254.20755124,29.58963761,6.91,0.92,8.25,0.605,F8V,30.19,-14.07
82929,254.21300190,6.50133099,2.45,1.14,7.33,1.600,K5III,-10.55,-1.27
82930,254.21734440,-60.95695461,25.67,2.47,8.34,0.904,K2IV/V,4.82,46.72
82932,254.21809114,-61.99513583,3.17,1.16,8.64,-0.033,B8Vn...,1.56,-8.08
82933,254.21848030,28.32165688,4.59,0.98,8.77,0.312,F5,-8.51,25.43
82931,254.22100298,86.83789492,7.60,0.88,9.16,0.617,G0,-30.71,56.15
82934,254.22260422,-42.79161545,-0.93,1.94,9.63,0.480,F0,-1.94,-11.32
82935,254.22368947,-2.04871417,13.54,1.14,8.26,0.544,F8,-28.76,45.17
82937,254.22775660,45.86211242,2.35,0.85,8.79,1.515,K5,-3.27,-2.41
82936,254.22778838,-40.51233718,1.20,1.46,7.10,,O7,0.45,-1.78
82938,254.23097625,33.71865902,4.97,1.09,9.23,0.490,F8,-8.63,3.15
82939,254.23415893,57.14229424,2.96,0.82,9.32,0.316,F0,-6.74,-2.51
82940,254.23497889,29.11656205,-0.56,1.12,8.89,1.673,M0,-3.79,3.04
82941,254.23653812,-28.39457723,0.23,2.22,10.10,1.068,G5,-0.28,-6.32
82942,254.24023336,-13.19708000,0.52,1.94,10.08,0.605,F8,-5.55,-9.98
82943,254.24875800,-38.43334165,4.87,2.04,7.81,0.433,F0IV/V,10.77,-20.16
82944,254.25443644,-71.11155701,1.96,0.66,6.46,0.260,A5IV/V,-8.47,-35.91
82945,254.25484675,-3.81493583,-2.82,1.66,9.73,0.971,G5,22.68,-8.73
82946,254.25580045,12.96366163,3.81,1.01,7.84,1.503,K2,-15.32,-8.46
82947,254.25722093,18.23379501,4.30,1.00,7.49,1.015,K0,-10.26,-1.30
82948,254.26068353,17.09776734,8.99,1.53,9.99,0.639,G0,-131.96,-143.71
82950,254.26157859,-59.27909062,12.06,1.58,9.30,0.647,G5V,-6.22,-77.14
82949,254.26182884,57.94448138,0.53,0.79,8.98,1.186,K2,-1.47,-4.86
82951,254.26663364,-19.53983923,4.78,1.48,6.27,0.084,B7/8III,-18.97,-7.04
82952,254.26857308,-46.14372967,3.70,1.30,8.69,0.150,B9V,1.15,-7.65
82953,254.27158649,39.10490901,-0.46,2.18,10.44,0.476,G0,-3.57,5.99
82954,254.27521498,-64.18877396,21.92,1.02,8.01,0.613,G3V,8.09,-37.22
82955,254.27830233,14.67367749,2.36,0.98,7.46,1.604,K5,4.44,-9.48
82956,254.28413335,-17.81912537,19.08,1.20,8.17,0.651,G3V,-57.14,-144.13
82957,254.29217359,50.99352539,6.56,0.98,9.64,0.508,F8,-65.94,38.40
82958,254.29242584,51.89900126,2.73,0.62,7.51,1.341,K0,-7.18,15.73
82959,254.29456228,35.28654269,0.84,0.83,8.13,1.428,K2,0.51,-2.36
82960,254.29655015,-33.25946890,4.50,0.89,5.48,1.606,K5III,5.93,-9.61
82961,254.30133279,-5.68228123,2.13,1.54,9.39,1.839,K8,-9.51,-2.39
82962,254.30252314,32.23365182,5.30,0.77,7.50,1.122,K0,-0.74,-20.93
82963,254.30441124,22.77078252,1.29,1.37,9.35,0.238,A0,3.62,-30.94
82964,254.30704545,71.46301761,19.75,0.68,8.14,0.618,G5,-190.01,86.03
82965,254.30766409,10.52730652,3.70,0.97,7.68,1.293,K0,19.19,2.79
82966,254.31584469,59.50816019,8.61,0.77,8.55,0.428,F5,44.43,64.49
82967,254.31983702,10.99785742,5.37,2.01,10.56,0.856,,0.51,-103.60
82969,254.32387251,7.30738563,8.76,1.37,9.25,0.370,A2,13.31,0.82
82968,254.32523355,86.84446974,8.74,0.74,8.36,0.408,F2,-31.83,54.93
82970,254.32634649,38.19050489,0.91,1.01,8.67,1.185,K0,-15.54,32.69
82971,254.33446121,6.21130150,3.42,1.00,6.73,1.522,K0,-35.16,0.45
82972,254.33523410,4.99456964,5.80,1.52,8.98,0.598,F0,-8.48,2.07
82973,254.33652528,40.34203729,8.65,1.00,9.24,0.537,F8,-13.25,20.53
82974,254.33897357,43.68372395,4.59,0.69,7.49,0.962,G5,12.99,-0.77
82975,254.33996494,59.79576067,0.59,0.88,8.93,1.351,K2,-11.57,22.08
82976,254.34358353,-51.88799403,14.58,3.33,9.80,0.609,F5,-4.77,-34.96
82977,254.34434333,-25.79959389,7.18,1.93,10.29,0.202,A1IV,-1.28,-0.40
82978,254.35562539,53.88260025,4.74,0.89,9.63,0.486,F8,-2.71,-34.59
82979,254.35833565,-10.96315727,13.00,0.84,6.15,1.000,G8III-IV,0.28,-88.88
82981,254.36322572,-12.23458175,4.60,1.57,8.78,1.111,G8V,-17.65,27.45
82980,254.36339540,-27.40625070,4.07,1.55,9.55,0.480,F2/F3V,0.53,-14.32
82982,254.36654871,-76.41823132,3.06,0.77,8.09,0.252,A7III,-8.13,-32.92
82983,254.37022965,-74.96115925,13.44,1.09,9.11,0.556,G0Vw...,-189.44,-145.10
82984,254.37453814,-49.70870276,1.85,1.44,8.97,1.571,K2,-1.73,-7.06
82985,254.37467511,-60.60009222,4.25,0.93,6.52,-0.060,B5III,-1.23,-12.88
82986,254.37598743,-22.64357714,6.51,1.74,9.77,0.566,G0V,0.16,-29.71
82987,254.37933698,25.35280257,5.87,0.64,6.27,0.909,G5III:,8.05,15.85
82988,254.37957222,14.01710175,2.08,0.96,7.68,1.352,K2,-9.29,-0.34
82989,254.38370142,13.88394324,16.29,0.77,6.38,0.930,K0V,-81.01,69.73
82990,254.38381227,5.27471088,3.72,2.63,11.02,0.700,,5.55,8.34
82991,254.39250529,-55.85177222,1.64,1.28,8.21,0.002,B5III,-2.52,-6.36
82992,254.39793246,-47.27243540,3.47,1.71,10.20,0.706,F5,1.58,-5.21
82993,254.39950061,80.25653147,5.46,0.84,9.78,0.436,F8,-0.10,-19.66
82994,254.40084124,21.02086898,1.63,1.26,8.63,1.486,K0,-7.04,0.59
82995,254.40152526,26.90505675,15.70,1.35,9.61,0.800,K0,79.19,241.79
82996,254.40178220,32.28570318,-1.71,1.79,11.07,0.355,F0,5.77,-1.04
82997,254.40724919,-53.28169828,1.46,1.17,8.51,1.267,K0III,-9.99,-16.48
82998,254.40903592,60.45563574,5.04,1.36,9.61,0.644,G0,-26.45,-25.05
82999,254.40994635,-3.01665866,5.07,1.10,7.46,0.379,A2,-19.08,-10.33
83001,254.41772620,-45.34696516,14.60,1.44,8.77,0.590,G3IV,-88.44,41.17
83000,254.41779418,9.37505626,37.99,0.75,3.19,1.160,K2IIIvar,-293.03,-9.70
83002,254.41963477,19.12922863,2.06,1.48,8.72,1.073,K2,-0.04,22.58
120290,254.42067697,35.26971226,0.49,1.94,9.98,0.718,,19.47,-1.91
83003,254.42321971,-63.21047023,4.68,3.60,10.62,-0.036,,-49.19,-85.79
83004,254.42436948,19.99259183,5.08,1.46,9.14,0.544,G5,-8.34,8.81
83005,254.42475228,-21.77518338,6.20,1.10,8.22,0.608,F2III/IV,-19.03,-35.21
83007,254.42626311,24.38130868,6.72,0.73,6.35,1.089,K0III,6.48,-20.08
83006,254.42645006,47.36150562,57.13,0.71,7.93,1.004,K0,-139.09,262.49
83008,254.42851027,-45.96145604,0.81,1.19,8.74,0.127,B2/B3III,0.40,-2.69
83009,254.43062101,-37.76377185,5.16,1.34,8.27,1.127,G8IV,-7.36,-70.00
83010,254.44202994,13.29144867,26.23,3.30,10.66,1.354,M0,47.07,71.84
83011,254.44659862,-43.79920413,6.95,2.10,9.48,0.627,G0,-59.33,-246.32
83012,254.44900456,-44.85147890,2.44,1.97,9.78,0.210,B1.5V,0.17,-4.75
83013,254.45910609,42.51255034,6.00,0.58,6.36,1.280,K3III,-10.23,-41.00
83014,254.45925516,-39.11573382,2.82,0.87,6.59,1.799,M1III,0.11,4.82
83015,254.46006763,46.82999139,5.66,1.15,8.69,1.100,G5,-21.71,-44.76
83016,254.46299875,-11.96194544,10.11,2.08,9.88,0.695,G0,-2.25,-15.10
83017,254.46690077,-24.91855283,15.21,1.79,8.89,0.670,G5V,-33.10,-67.28
83018,254.47101761,30.31315273,3.12,1.28,9.66,1.454,K5,-7.12,2.25
83019,254.47153815,41.64083574,4.18,1.16,9.84,0.581,F8,-0.41,-8.39
83020,254.47211191,47.36602661,55.71,1.21,7.76,0.980,K0,-146.90,272.21
83021,254.47271442,-19.79156654,1.70,1.31,8.49,1.658,M3III,-18.46,-19.21
83022,254.47419048,-34.40579921,4.06,1.37,9.01,0.256,B5III/IV,-0.23,-3.69
83023,254.48632092,-51.21023243,4.22,1.41,8.28,1.426,K2III,-7.91,-1.42
83024,254.49348268,31.00851741,7.80,1.83,8.85,0.703,G5,-14.39,-28.80
83025,254.49516082,-41.30022009,-1.48,2.16,9.91,0.320,B8,-1.33,-2.75
83026,254.49700786,-31.96418245,-2.53,1.54,9.69,1.047,G5/G6V:,5.43,-19.36
83027,254.50189563,2.34193186,10.48,1.75,9.87,0.600,G0,-18.08,11.75
83028,254.50439846,-58.63186911,4.30,1.31,8.27,1.201,K0III,10.47,-10.76
83029,254.50595048,-14.83171963,7.41,2.45,9.91,0.664,F3/F5V,-8.28,-10.35
83030,254.50819357,-68.45943826,2.74,0.77,7.78,1.576,K3/K4III,-0.95,4.08
83031,254.50850743,-1.14373996,4.13,1.36,9.11,0.582,A3,5.05,4.71
83032,254.50969806,-12.08417918,11.63,1.20,7.85,0.515,F5,32.15,-67.16
83033,254.51613766,16.37003816,4.84,2.07,10.40,0.602,G5,-7.52,18.18
83034,254.51999699,15.15308382,3.49,1.61,7.65,1.031,K0,11.67,15.83
83035,254.52535483,-32.06770910,2.25,1.41,8.79,1.000,K0IV,-6.91,-7.21
83036,254.52686521,-40.35267003,3.28,1.02,7.55,1.610,K4III,-6.90,23.05
83037,254.52796176,9.03260722,6.38,1.45,8.26,0.402,F0,0.31,9.19
83038,254.52896034,-30.21614635,5.01,3.94,8.45,,F3V,3.19,-32.21
83039,254.53303563,-45.98234347,1.34,1.05,7.92,0.128,B2III,1.10,-4.15
83040,254.53358673,-58.99252227,4.12,1.09,8.12,-0.026,B8IV/V,-1.13,-12.40
83041,254.53443149,-36.65268395,3.60,1.90,10.20,0.205,A0,-6.47,-2.07
83042,254.53494255,-30.21621788,5.01,3.94,9.77,,,3.19,-32.21
83043,254.53718424,25.74539445,96.90,1.48,9.70,1.522,M2,-113.25,-507.77
83044,254.53738628,-53.24436247,4.55,1.33,8.22,1.169,K0III,10.18,-16.56
83045,254.53963438,-14.37246423,8.41,1.09,7.16,1.559,K2III,-4.58,-1.63
83046,254.54669402,-80.07246711,6.22,0.67,7.67,0.029,A0Vn,-6.69,-17.70
83047,254.54851741,50.69548575,3.95,0.71,7.95,0.944,G5,-18.60,-10.15
83049,254.55085965,25.33852039,6.04,1.63,8.40,0.300,F0,-12.97,-15.50
83048,254.55089689,-10.54571473,5.47,1.02,7.69,1.385,K0,-8.44,-16.53
83050,254.55361640,33.70065572,4.32,0.90,8.49,0.360,F8,15.47,-1.51
83051,254.56144944,31.79095187,1.73,2.47,9.09,0.542,G5,-12.18,20.52
83052,254.56374531,34.71801440,10.92,0.82,8.28,0.443,G0,-14.91,-20.14
83053,254.56468155,-65.20441240,8.10,0.71,6.53,0.359,Fm...,-13.52,-54.75
83054,254.56894728,-53.92067955,2.38,1.00,8.14,-0.039,Ap Si,2.53,-6.24
83055,254.56953005,-26.05897987,5.18,1.10,7.44,1.568,K5III,8.85,2.37
83056,254.57081737,21.67268119,9.64,1.86,9.90,0.701,,-64.00,-161.52
83057,254.57478718,-50.64109176,6.23,0.74,5.53,0.016,B9IV,-10.20,-38.25
83058,254.57903817,-4.34343100,13.15,1.27,8.33,0.533,F6V,-34.13,-26.63
83059,254.58227833,-33.60909191,2.54,1.13,7.16,0.765,G0Ib,3.69,-6.77
83060,254.58415528,-35.68890201,5.08,1.49,8.95,1.793,K2/K3,-22.10,-19.34
83061,254.58594327,-24.39792634,7.04,2.13,9.15,0.476,F5/F6V,-24.36,-27.56
83062,254.58636877,-33.04770002,6.50,1.84,9.12,0.456,F3V,-12.28,-38.69
83063,254.58667745,28.21893395,5.11,0.97,8.66,0.258,A3,-9.53,15.40
83064,254.59518864,39.71022470,8.43,0.80,8.09,0.583,G0,25.24,-117.70
83065,254.59831480,-43.00490271,3.41,1.44,8.71,0.280,A0V,6.06,-8.25
83066,254.59965223,-67.52060941,2.92,0.85,8.00,0.034,A0V,-0.97,-15.99
83067,254.60080579,-34.58968511,3.06,1.44,9.06,0.308,B9.5V,-5.78,-12.00
83068,254.60331022,20.14524027,4.13,1.05,7.70,1.079,K0,-35.30,-36.84
83069,254.60500513,48.00076983,15.25,0.73,8.04,0.553,F8,-88.21,74.10
83070,254.61762467,-20.78564095,9.52,1.34,8.81,0.433,F3V,50.72,2.45
83071,254.62272678,-60.70811291,4.45,1.13,8.74,0.018,B9V,-0.46,-12.48
83072,254.62390419,-67.04492039,3.65,1.15,8.45,0.963,G6III,6.61,-18.77
83073,254.62735604,-27.11228170,4.96,1.42,8.62,0.372,F0V,-27.45,-36.46
83074,254.63178060,-32.36505380,4.27,1.71,9.50,0.577,F3V,-10.91,-18.16
83075,254.63237584,30.58573938,6.67,0.97,8.50,0.504,G5,18.51,-5.80
83076,254.63495166,43.99591543,4.98,0.81,7.99,0.912,G5,-13.79,12.57
83077,254.63922493,-9.72611200,8.37,1.35,8.77,0.465,F8,17.55,10.16
83078,254.63925039,-28.82035583,3.72,1.20,8.69,1.036,G8/K0III,-0.42,-12.19
83079,254.64708027,-30.84410142,3.90,1.27,7.85,1.107,K1III/IV,13.73,18.43
83080,254.64929794,-30.12062774,7.95,1.23,8.70,0.412,F2V,-8.61,-49.82
83081,254.65512817,-55.99005508,5.68,0.91,3.12,1.552,K5III,-18.31,-35.29
83082,254.65748834,1.66197490,2.17,1.26,8.65,1.401,K0,-1.71,7.53
83083,254.65807327,15.45402056,18.72,0.83,6.89,0.646,F8V,-24.71,141.02
83084,254.65986388,62.51769777,4.01,0.82,9.38,0.337,F5,-8.10,21.43
83085,254.66115133,59.79764614,0.66,0.94,9.15,1.370,K5,0.12,-5.96
83086,254.66320895,43.94924949,2.54,1.10,9.59,1.040,K0,-4.75,10.21
83087,254.66399740,5.05043824,4.95,2.43,10.92,0.690,,13.49,-8.64
83088,254.66726276,69.63485569,2.10,0.66,7.91,0.944,K0,2.80,8.59
83089,254.67281524,-61.74145830,12.84,0.94,7.26,0.435,F2/F3V,36.27,-76.97
83090,254.67317572,-14.86961006,20.67,1.21,6.48,0.391,F3IV/V,-2.07,-25.14
83091,254.67587021,35.92597597,-0.72,1.33,10.44,1.181,K0,5.83,-23.93
83092,254.68386206,76.10912130,3.74,0.92,9.42,0.389,F2,-12.10,21.20
83093,254.68605612,3.88004201,9.35,1.26,8.65,0.931,K0,-54.77,38.92
83094,254.68934667,-23.82470449,3.44,1.85,9.59,1.276,G5,7.50,-3.26
83095,254.69490696,23.80010926,3.99,1.05,8.77,0.577,G0,-5.57,24.47
83096,254.69533392,27.64500354,1.48,0.92,8.00,1.587,K5,-0.65,-3.05
83097,254.69635363,-23.98665474,7.98,1.27,8.21,0.279,A8/A9V,12.06,-17.18
83098,254.71393689,76.09918085,3.85,3.44,10.25,0.511,,34.48,-36.25
83099,254.71754934,-23.74636324,18.24,1.38,8.51,0.661,G2/G3V,-41.49,-85.97
83100,254.71772463,-37.62041528,12.13,0.98,6.05,0.179,A3III,10.23,-38.08
83101,254.72435489,-39.55909225,52.30,2.05,8.33,1.181,K3/K4V,272.90,223.14
83102,254.72546898,54.72846133,1.04,0.79,8.61,1.561,M0,-0.89,2.12
83103,254.72729433,-8.62026026,-2.51,1.40,9.27,0.255,A0,-1.80,4.09
83104,254.72984207,-39.16848193,1.12,0.98,7.44,1.055,G6III,7.43,3.57
83105,254.73669284,-46.12898840,0.42,1.05,8.09,0.155,B2IV,-0.11,-3.74
83106,254.74054149,52.30987328,2.18,0.69,8.08,1.564,K5,-6.34,-4.25
83107,254.74170588,-15.81186169,17.74,1.04,8.21,0.614,G3V,-14.70,-55.70
83108,254.74314286,17.53669164,8.05,1.06,8.47,0.443,F8,-39.98,1.81
83109,254.74325084,31.46994621,13.96,0.77,7.74,0.455,F5,12.32,4.24
83110,254.74365130,-48.43812641,6.65,1.36,9.29,0.430,F5/F6V,-21.37,-27.30
83111,254.74859029,33.07114965,2.08,1.50,10.88,0.355,F0,-14.77,8.15
83112,254.75185058,-49.74382007,2.46,0.95,7.92,0.175,B8/B9V,-8.23,-7.84
83113,254.75665979,29.63473218,29.24,2.97,11.69,,,205.57,94.11
83114,254.76072549,69.18634733,11.46,0.52,6.41,0.725,K0,-0.18,-40.64
83115,254.77042261,17.68830635,5.13,0.89,7.63,0.092,A0,9.12,8.15
83116,254.77320262,-48.87512564,6.37,0.84,6.64,0.347,A5IIIs,4.48,1.69
83117,254.77336575,11.51307977,3.56,1.00,7.89,1.672,M...,1.51,-22.42
83118,254.77880728,-23.36660873,7.06,2.12,10.52,0.700,G0,-25.46,-15.81
83119,254.77948267,-38.56601410,0.11,1.05,7.57,0.040,B3II/III,-0.73,-0.89
83120,254.79204554,6.60406775,21.49,1.42,9.30,0.978,K0,-200.00,-5.60
83121,254.79323143,-53.02360712,4.88,1.22,7.83,1.015,G8III,1.64,-21.03
83122,254.79703976,-46.95039146,9.61,1.24,9.12,0.567,G2V,-2.12,-16.83
83123,254.79942246,14.07942252,11.96,0.87,7.35,0.400,F2IV,-18.65,-51.96
83124,254.80787678,-37.57222717,2.59,1.69,8.99,1.284,K1III:,-0.63,-2.75
83125,254.81834727,-19.42913074,4.14,2.21,9.33,0.276,G5,-9.35,-9.73
83126,254.82021652,-13.19867190,4.01,2.61,8.94,,F5V,19.06,-27.12
83127,254.82044183,-12.05497898,2.59,2.03,10.13,0.753,G0,8.89,-24.58
83128,254.82387338,68.67891215,8.26,0.53,7.51,0.333,A5,19.92,-7.98
83129,254.82403569,2.90886362,0.93,1.39,8.68,1.111,K0,-28.57,13.29
83130,254.82714848,34.86436417,4.10,0.85,8.46,0.216,A2,9.12,-13.38
83131,254.82722193,-16.90256929,5.44,2.88,8.59,0.520,F2V,-3.58,-18.43
83132,254.83317709,-41.40516656,1.60,1.16,8.11,0.148,B7III,-4.83,-20.83
83133,254.83334214,-51.16375684,4.39,2.43,9.11,1.001,K1III+...,-15.24,-13.30
83134,254.83569864,24.49236382,-0.50,1.26,8.78,1.267,K0,-0.41,-0.53
83135,254.83599673,-63.62351993,10.31,1.17,8.74,1.006,K1V:,15.45,-96.51
83136,254.83903157,-14.73476433,9.76,1.96,9.00,0.538,F0V,8.40,19.94
83137,254.83954458,-1.68766943,16.37,0.96,7.55,0.416,F2,28.38,-2.09
83138,254.83987304,56.68850477,10.99,0.50,6.04,1.165,K1III:,-52.85,36.63
83139,254.84704468,-16.06431508,5.68,1.03,7.79,1.663,K5III,25.62,-17.76
83140,254.85505718,38.35620960,2.52,0.80,8.69,0.981,K0,-12.26,11.71
83141,254.85665888,35.68061784,29.22,1.00,9.35,0.984,K5,-299.51,233.07
83142,254.85711852,-28.86172293,5.65,1.61,9.98,0.773,G6/G8V,-3.38,-87.66
83143,254.87307799,9.70342801,5.19,2.36,7.96,0.468,F0,-3.14,9.86
83144,254.87562476,18.55580403,3.10,1.16,8.04,1.603,K5,-12.19,2.62
83145,254.87742032,-5.82675436,8.92,1.36,9.23,0.649,F5,-18.96,30.93
83146,254.88152686,-7.95554599,12.09,1.07,8.06,0.657,G0,-83.68,18.02
83147,254.88826284,-26.26718398,39.86,11.61,10.38,1.356,M1V:,120.12,-299.37
83148,254.88840532,66.99905842,5.90,0.75,8.81,1.054,K0,19.81,114.91
83149,254.88904534,42.36959999,5.10,1.01,9.17,0.959,K2,-5.76,-14.28
83150,254.89159236,-69.26813178,3.32,0.68,5.79,-0.103,Ap Si,-13.94,-13.12
83151,254.89372690,5.80155396,-1.62,1.34,8.22,1.275,K0,8.76,-21.07
83152,254.89531037,29.54949619,5.65,0.86,7.84,0.077,A0,14.79,-8.52
83153,254.89602773,-53.16049005,10.72,0.79,4.06,1.452,K4III,1.12,21.53
83154,254.89672174,8.02670454,4.01,1.15,8.02,1.449,K2,-21.99,14.46
83155,254.89819597,-41.28558836,3.39,1.52,7.88,0.581,F5/F6IV,-36.47,-50.89
83156,254.90003551,-67.19955830,5.93,0.99,8.21,0.535,F5IV,4.40,-2.97
83157,254.91090440,18.66793543,4.45,3.14,11.34,,K0,-14.96,-57.02
83158,254.91693995,24.20471790,3.69,0.92,7.78,0.926,K0,-14.11,-75.14
83159,254.92698376,-37.43796901,6.78,1.71,9.02,0.395,F5V,-8.44,-28.09
83160,254.92779587,58.59768238,4.39,0.61,8.03,0.907,G5,13.18,-4.45
83161,254.93176377,-41.97859614,0.75,1.14,8.48,0.181,B9IV,-3.47,-4.01
83162,254.93402406,20.84037035,5.14,1.85,10.19,1.142,K2,0.12,2.10
83163,254.93469985,-18.24799544,19.73,0.80,6.63,0.569,G0V,-25.50,-142.04
83164,254.94345280,36.92135296,4.96,0.93,7.79,0.000,A2,-8.28,20.25
83165,254.94924900,10.91543580,4.41,0.91,7.08,1.499,K4III,15.89,13.31
83166,254.95576790,-4.22122877,0.87,1.09,7.49,1.598,K2,2.95,7.52
83167,254.95812245,37.84945210,4.21,0.82,8.46,0.397,F2IV,28.66,-31.07
83168,254.95870705,58.46255286,7.14,0.50,6.87,0.122,A3,-10.06,12.09
83169,254.95939888,-43.85727219,1.42,2.32,9.93,0.552,F5,-22.16,-19.59
83170,254.96344708,17.80613446,9.05,0.86,7.34,0.306,F2IV,-4.96,4.14
83171,254.96750200,46.02019597,2.07,1.06,9.46,0.417,F5,3.82,-6.68
83172,254.97052139,27.31592836,1.30,0.79,7.20,1.550,MIII,-25.10,2.32
83173,254.97798095,-73.42245533,2.89,0.80,6.72,-0.069,B9III,-1.73,-12.00
83174,254.97825595,-59.32943378,20.90,0.92,7.18,0.470,F6V,19.38,-95.90
83175,254.99025232,-80.08617684,2.69,0.99,9.17,1.690,M,-7.60,-7.63
83176,254.99043286,-25.09216189,6.76,1.04,5.88,1.607,M1/M2III,2.68,-15.00
83177,254.99901590,-31.59335416,14.71,1.48,8.89,0.645,G1V,-63.48,-29.72
83178,255.00261819,9.79800703,4.23,0.85,7.59,0.091,A0,10.20,-12.81
83179,255.00288224,-22.14883158,11.48,1.69,9.82,0.731,G6V,-28.96,-40.28
83180,255.00530321,19.59342614,7.26,1.23,8.31,0.800,G5,61.43,-21.30
83181,255.00666961,-7.53161019,22.87,1.06,7.98,0.652,G0,97.18,-19.38
83182,255.00991134,-31.50032559,12.12,1.94,9.61,0.701,G1,-55.53,82.77
83183,255.01434070,53.04448509,3.09,0.54,7.42,1.344,K0,-6.60,25.66
83184,255.01880730,78.09903972,1.86,0.53,7.12,1.501,K2,-8.04,9.13
83185,255.02195013,-57.15513702,7.31,5.61,12.17,,,5.39,-6.13
83186,255.02273132,39.10034967,5.73,0.65,7.25,1.040,K0,-53.96,117.02
83187,255.02619645,-54.59700158,19.74,0.80,5.64,0.194,A3V,-7.69,-73.04
83188,255.03108961,0.92072804,3.64,1.30,9.00,1.311,K0,2.53,0.92
83189,255.03190984,40.35088678,13.15,0.86,8.30,0.488,F5,41.96,-52.10
83190,255.03291996,34.37018891,8.92,0.84,8.64,0.476,F8,-56.39,17.41
83191,255.03313994,12.16194121,-0.33,1.68,9.52,0.969,K0,2.49,1.79
83192,255.03363462,-16.64506350,2.45,1.18,8.54,1.160,K3III,-4.89,-3.74
83194,255.03781664,-27.96824951,7.37,1.14,8.45,0.391,F2V,2.36,-12.36
83193,255.03792115,-68.76143088,32.73,2.60,9.35,1.164,K3/K4V,143.45,260.78
83195,255.03866703,-26.95384383,22.34,1.83,9.73,0.942,,-166.52,-99.76
83196,255.03949377,-24.98893659,30.05,1.01,5.74,0.407,F3V,49.14,-54.89
83197,255.04184175,34.33836871,5.65,0.67,7.05,0.900,G5,-4.10,7.58
83198,255.04241618,48.72450469,1.19,0.90,9.18,1.036,G0,-10.03,-8.67
83199,255.05462033,81.89512920,4.05,0.74,9.02,0.527,F8,-10.17,7.50
83200,255.05563671,49.47174104,5.61,0.71,8.34,1.168,K0,-19.82,-2.40
83201,255.05737780,-55.10595660,1.33,1.14,8.26,1.544,K2/K3III,-13.12,-17.64
83202,255.05941389,-44.98846818,19.76,1.01,6.50,0.403,F3V,-16.18,-33.05
83203,255.06052079,-18.21414840,3.94,1.14,8.46,0.541,F0V,-4.40,-6.06
83204,255.06797927,10.82305681,23.41,0.92,7.38,0.594,F8,94.69,-100.38
